Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
TABOR/SMITH/MAGNIER/WESTERBERG	2	3	3	0	1742770,00	348554,00	2091324,00	177761,00	580923,33	871385	2
WERTHEIMER & FRERE	90	224	54	130	1729207,00	832158,00	2561365,00	216591,00	7719,67	19213	2
AGA KHAN STUDS	43	91	35	43	1518696,00	364214,00	1882910,00	113356,00	16688,97	35319	2
MR GERARD AUGUSTIN-NORMAND	112	333	44	210	735319,00	397399,00	1132718,00	196219,00	2208,17	6565	3
GOUSSERIE RACING	52	195	29	114	547260,00	316609,00	863869,00	139538,00	2806,46	10524	4
GODOLPHIN SNC	34	71	12	42	496319,00	26268,00	522587,00	10834,00	6990,41	14598	2
MME J. MAGNIER/D.SMITH/M.TABOR	4	5	1	2	416615,00	0,00	416615,00	0,00	83323,00	104154	1
AL SHAQAB RACING	36	72	13	45	413198,00	230851,00	644049,00	66949,00	5738,86	11478	2
WATHNAN RACING	24	36	8	23	411587,00	100538,00	512125,00	37289,00	11432,97	17149	2
MR ALAIN JATHIERE	33	88	14	49	385040,00	179189,00	564229,00	101215,00	4375,45	11668	3
MR JEAN-PIERRE-JOSEPH DUBOIS	27	84	17	55	359962,00	187018,00	546980,00	97142,00	4285,26	13332	3
MR JEAN-CLAUDE SEROUL	41	138	16	95	333208,00	197105,00	530313,00	57297,00	2414,55	8127	3
JUDDMONTE FARMS INC	22	43	11	25	308353,00	14591,00	322944,00	2893,00	7171,00	14016	2
ECURIE NICOLATO	38	234	27	136	263266,00	118912,00	382178,00	92785,00	1125,07	6928	6
YEGUADA CENTURION SLU	18	41	10	21	236571,00	147300,00	383871,00	35072,00	5770,02	13143	2
MR BERNARD GIRAUDON	35	151	19	79	229836,00	131922,00	361758,00	66387,00	1522,09	6567	4
VICTORIOUS FOREVER	2	2	1	0	228560,00	0,00	228560,00	0,00	114280,00	114280	1
WESTMINSTER RACE HORSES SP ZOO	19	88	10	50	195532,00	64133,00	259665,00	17937,00	2221,95	10291	5
LE MARAIS SAS	43	123	18	73	188357,00	122139,00	310496,00	52650,00	1531,36	4380	3
MR OMAR ESMIL SH GHRGHAR	15	35	6	19	182820,00	78551,00	261371,00	42907,00	5223,43	12188	2
MR ALEXANDRE DE LANFRANCHI	20	78	15	41	181581,00	31026,00	212607,00	27054,00	2327,96	9079	4
MAGNIER/TABOR/SMITH/WESTERBERG	2	3	0	2	181510,00	0,00	181510,00	0,00	60503,33	90755	2
MR MANSOOR KHALIL M. AL-SHAHWANI	1	2	1	1	178230,00	17653,00	195883,00	9508,00	89115,00	178230	2
MR GUY PARIENTE	36	129	17	77	176851,00	106779,00	283630,00	58558,00	1370,94	4913	4
L.BAUDRON (S)	21	78	12	47	169884,00	86909,00	256793,00	44323,00	2178,00	8090	4
MR NURLAN BIZAKOV	31	80	5	56	168940,00	70229,00	239169,00	24044,00	2111,75	5450	3
MR JAN ROMEL	14	55	7	34	159666,00	87734,00	247400,00	40696,00	2903,02	11405	4
FAL STUD SAS	28	104	9	56	157398,00	101878,00	259276,00	40812,00	1513,44	5621	4
ECURIES SERGE STEMPNIAK	27	118	15	64	154629,00	87409,00	242038,00	42256,00	1310,42	5727	4
MR FINN BLICHFELDT	10	31	5	16	148144,00	90179,00	238323,00	31377,00	4778,84	14814	3
D.ARTU (S)	18	116	11	58	147402,00	69820,00	217222,00	40956,00	1270,71	8189	6
HA.PANTALL (S)	13	35	5	15	145102,00	101798,00	246900,00	32659,00	4145,77	11162	3
ECURIE DAVID R. LAYANI FAMILLE	23	66	8	41	143343,00	91667,00	235010,00	35576,00	2171,86	6232	3
C.BOUTIN (S)	18	111	11	60	136511,00	63826,00	200337,00	31978,00	1229,83	7584	6
MR JOSE MARIA MALDONADO	8	22	3	16	133318,00	67389,00	200707,00	18124,00	6059,91	16665	3
M.BOUTIN (S)	21	119	9	65	132947,00	67328,00	200275,00	35480,00	1117,20	6331	6
ECURIE MATHIEU OFFENSTADT	7	26	11	12	129378,00	72779,00	202157,00	34101,00	4976,08	18483	4
SANGWIN BLOODSTOCK LTD	13	50	8	26	128252,00	66322,00	194574,00	27459,00	2565,04	9866	4
ECURIE VICTORIA DREAMS	20	60	7	33	128128,00	76923,00	205051,00	25898,00	2135,47	6406	3
MR JEAN-PIERRE VANDEN HEEDE	24	131	8	62	125720,00	58919,00	184639,00	29512,00	959,69	5238	5
MR ROBERT NG	18	50	5	29	122509,00	65315,00	187824,00	22038,00	2450,18	6806	3
QUANTUM LEAP RACING XI	1	1	0	1	114300,00	22860,00	137160,00	17830,00	114300,00	114300	1
MR ANTOINE GILIBERT	12	54	6	34	112874,00	46405,00	159279,00	35448,00	2090,26	9406	5
RED AND WHITE RACING	14	106	12	69	110412,00	51161,00	161573,00	46507,00	1041,62	7887	8
IKARUSRACING	1	7	4	3	109584,00	49309,00	158893,00	20653,00	15654,86	109584	7
HARAS D'ETREHAM	22	71	7	45	109336,00	60382,00	169718,00	33625,00	1539,94	4970	3
SCUDERIA MICOLO SNC	11	58	4	37	107411,00	57280,00	164691,00	27726,00	1851,91	9765	5
C&Y.LERNER (S)	13	54	6	31	106306,00	53752,00	160058,00	56615,00	1968,63	8177	4
MR PETER-DAVID SAVILL	9	29	4	19	105727,00	77796,00	183523,00	23718,00	3645,76	11747	3
MME CHRISTELLE COURTADE	22	53	5	29	104167,00	664,00	104831,00	24459,00	1965,42	4735	2
MME HENRI DEVIN	15	31	9	21	100719,00	50849,00	151568,00	20723,00	3249,00	6715	2
H.H. CHEIKH MOHAMMED BIN KHALIFA AL THANI	6	14	4	7	100497,00	28347,00	128844,00	14030,00	7178,36	16750	2
STALL PERLEN AB	7	22	4	13	100238,00	40056,00	140294,00	12921,00	4556,27	14320	3
ECURIE EDGAR MESSAOUD	6	40	4	26	99070,00	44564,00	143634,00	19628,00	2476,75	16512	7
MR ERICH SCHWAIGER	11	30	6	20	97869,00	45965,00	143834,00	11843,00	3262,30	8897	3
MR JUAN CARLOS PEINADO GARCIA	8	28	7	14	97431,00	22520,00	119951,00	6978,00	3479,68	12179	4
MME ISABELLE CORBANI	22	63	2	37	95984,00	56839,00	152823,00	24615,00	1523,56	4363	3
ECURIE HARAS DES SENORA	8	36	9	19	94861,00	42676,00	137537,00	22469,00	2635,03	11858	5
D.MELE (S)	20	32	8	17	94608,00	7266,00	101874,00	12725,00	2956,50	4730	2
BALLYLINCH STUD	14	37	7	23	93815,00	3307,00	97122,00	1311,00	2535,54	6701	3
ECURIE DU SUD	13	55	9	28	92298,00	43200,00	135498,00	46407,00	1678,15	7100	4
STAL VIE EN ROSE	7	39	5	15	92253,00	40668,00	132921,00	16153,00	2365,46	13179	6
CHEVOTEL RACING	8	28	2	19	92024,00	47898,00	139922,00	14653,00	3286,57	11503	4
TONY BLOOM/IAN MCALEAVY	1	1	0	1	91440,00	0,00	91440,00	0,00	91440,00	91440	1
ECURIE AMA.ZINGTEAM	7	16	3	11	91404,00	22414,00	113818,00	4444,00	5712,75	13058	2
HARAS DE SAINT-VOIR	6	14	4	10	90365,00	40664,00	131029,00	17487,00	6454,64	15061	2
MR JULIEN PHELIPPON	15	86	9	45	90187,00	46491,00	136678,00	34010,00	1048,69	6012	6
MME MARIE BOCHE	11	80	8	33	89006,00	37338,00	126344,00	17055,00	1112,58	8091	7
MR MAURICE LAGASSE	8	26	5	15	88464,00	66344,00	154808,00	31264,00	3402,46	11058	3
BARON EDOUARD DE ROTHSCHILD	15	37	1	28	86918,00	38961,00	125879,00	8878,00	2349,14	5795	2
MME ANA O'BRIEN	1	1	0	1	85650,00	0,00	85650,00	0,00	85650,00	85650	1
MME CORINE BARANDE BARBE	8	50	3	15	84681,00	38701,00	123382,00	20057,00	1693,62	10585	6
MR MAURIZIO GUARNIERI	21	95	6	41	84664,00	37555,00	122219,00	23674,00	891,20	4032	5
MME MARIE-CARMEN DIARTE	12	96	13	50	84067,00	38147,00	122214,00	34086,00	875,70	7006	8
M.KREBS (S)	13	91	3	52	83831,00	35871,00	119702,00	15133,00	921,22	6449	7
MME AGATHE FOUASSIER	29	105	13	61	82670,00	33356,00	116026,00	31251,00	787,33	2851	4
ECURIE GRIBOMONT	11	41	5	21	82278,00	43743,00	126021,00	33157,00	2006,78	7480	4
CH.PLISSON (S)	22	132	8	57	81827,00	36137,00	117964,00	31429,00	619,90	3719	6
ECURIE GEORGINIO	13	32	5	14	81776,00	39908,00	121684,00	14029,00	2555,50	6290	2
MR ANOJ DON	19	55	7	37	78701,00	18552,00	97253,00	14802,00	1430,93	4142	3
MR MICHAEL MOTSCHMANN	12	41	4	26	77952,00	35051,00	113003,00	15520,00	1901,27	6496	3
MR ANTON KRAULIGER	5	23	3	16	77066,00	41734,00	118800,00	16238,00	3350,70	15413	5
SUC. MOHAMMED OBAID AL MAKTOUM	2	3	0	2	76675,00	0,00	76675,00	0,00	25558,33	38338	2
MR JACQUES SIMONGIOVANNI	13	31	6	16	76538,00	4347,00	80885,00	14395,00	2468,97	5888	2
MR CHRISTOPHE ESCUDER	21	95	12	56	76026,00	38784,00	114810,00	31085,00	800,27	3620	5
MR GILLES LECA	14	34	5	22	75961,00	5811,00	81772,00	17162,00	2234,15	5426	2
MME INGRID PANTALL	10	36	6	23	75762,00	27284,00	103046,00	18060,00	2104,50	7576	4
VICTORIOUS FOREVER	3	10	2	6	73714,00	25743,00	99457,00	8594,00	7371,40	24571	3
WALTER PHILIPPE SAS	9	56	5	26	72482,00	32604,00	105086,00	15103,00	1294,32	8054	6
MR JESS PARIZE	19	134	7	50	71737,00	23944,00	95681,00	18274,00	535,35	3776	7
CHEIK AHMED AL MAKTOUM	5	8	2	5	71552,00	10980,00	82532,00	2177,00	8944,00	14310	2
MR PIERRE SIGAUD	5	30	5	14	71468,00	32151,00	103619,00	12443,00	2382,27	14294	6
RESOLUTE BLOODSTOCK	4	7	2	5	70435,00	13421,00	83856,00	2660,00	10062,14	17609	2
FLAXMAN STABLES IRELAND L.T.D	5	8	2	4	69516,00	0,00	69516,00	0,00	8689,50	13903	2
STAMFORD BLOODSTOCK	13	29	9	17	69367,00	41119,00	110486,00	36809,00	2391,97	5336	2
MR FAOUZI BOUALEM	9	51	5	20	68975,00	31028,00	100003,00	11847,00	1352,45	7664	6
MR JEAN-VINCENT TOUX	9	32	4	15	68923,00	5920,00	74843,00	2588,00	2153,84	7658	4
MR DANIEL MACAULIFFE	19	53	6	36	67905,00	18552,00	86457,00	14802,00	1281,23	3574	3
MR SVEN GOLDMANN	1	5	1	3	67580,00	30410,00	97990,00	12738,00	13516,00	67580	5
PRCE A. FAISAL	5	7	1	3	67250,00	0,00	67250,00	0,00	9607,14	13450	1
MME ANDRE FABRE	7	25	2	15	67185,00	47201,00	114386,00	12735,00	2687,40	9598	4
WHITE BIRCH FARM	6	11	3	6	65510,00	21658,00	87168,00	8057,00	5955,45	10918	2
MR THIERRY POCHE	24	84	7	36	63414,00	27474,00	90888,00	17642,00	754,93	2642	4
MME MIREILLE DESVAUX	7	39	5	17	63119,00	27110,00	90229,00	11872,00	1618,44	9017	6
VDA TRANSPORT SOLUTIONS	13	48	3	23	63043,00	31147,00	94190,00	10794,00	1313,40	4849	4
ECURIE DES CHARMES	10	30	3	20	62890,00	25123,00	88013,00	5741,00	2096,33	6289	3
CHEIK KHALAF RABAH ALSHAMMARI	2	5	3	2	62440,00	26250,00	88690,00	7962,00	12488,00	31220	3
MME PAULINE JEANNETTE MCCREERY	1	5	4	0	61800,00	0,00	61800,00	0,00	12360,00	61800	5
B.AUDOUIN (S)	11	54	6	33	60811,00	28243,00	89054,00	17001,00	1126,13	5528	5
